ID,Name,Sex,AGE_15_20,AGE_20_25,AGE_25_30,AGE_30_35,AGE_35_40,AGE_40_and_above,Height_Below_200,Height_Above_200,Weight_50_75,Weight_75_100,Weight_above_100,Medal
872,Richard John Duke,1,0,1,0,0,0,0,1,0,0,1,0,0
873,Cline Dumerc,0,0,0,1,0,0,0,1,0,1,0,0,2
874,"Timothy Theodore ""Tim"" Duncan",1,0,0,1,0,0,0,0,1,0,0,1,1
875,Nancy Lynn Dunkle,0,0,1,0,0,0,0,1,0,1,0,0,2
876,Kevin Wayne Durant,1,0,1,0,0,0,0,0,1,0,0,1,3
877,Kevin Wayne Durant,1,0,0,1,0,0,0,0,1,0,0,1,3
878,Eugeniusz Durejko,1,0,1,0,0,0,0,0,1,0,0,1,0
879,Vera urakovi,0,0,0,1,0,0,0,1,0,1,0,0,1
880,Nemanja uri,1,0,1,0,0,0,0,1,0,0,1,0,0
881,Nemanja uri,1,0,0,1,0,0,0,1,0,0,1,0,0
882,Zorica urkovi,0,0,1,0,0,0,0,1,0,1,0,0,1
883,Ivan Vasilyevich Dvorny,1,1,0,0,0,0,0,0,1,0,0,1,3
884,Katarzyna Elbieta Dydek,0,0,0,1,0,0,0,1,0,0,1,0,0
885,"Magorzata Teresa ""Margo"" Dydek (-Twigg)",0,0,0,1,0,0,0,0,1,0,1,0,0
886,Katie Rae Ebzery,0,0,0,1,0,0,0,1,0,1,0,0,0
887,Gregory Joshue Echenique Carrillo,1,0,1,0,0,0,0,0,1,0,0,1,0
888,"Edson ""Edson Bispo"" Bispo dos Santos",1,0,1,0,0,0,0,1,0,0,1,0,0
889,"Edson ""Edson Bispo"" Bispo dos Santos",1,0,1,0,0,0,0,1,0,0,1,0,1
890,"Edson ""Edson Bispo"" Bispo dos Santos",1,0,0,1,0,0,0,1,0,0,1,0,1
891,Teresa Edwards,0,1,0,0,0,0,0,1,0,1,0,0,3
892,Teresa Edwards,0,0,1,0,0,0,0,1,0,1,0,0,3
893,Teresa Edwards,0,0,0,1,0,0,0,1,0,1,0,0,1
894,Teresa Edwards,0,0,0,0,1,0,0,1,0,1,0,0,3
895,Teresa Edwards,0,0,0,0,0,1,0,1,0,1,0,0,3
896,"Soeli ""ga"" Garvo Zakrzeski",0,0,0,1,0,0,0,1,0,0,1,0,0
897,Yoshitaka Egawa,1,0,1,0,0,0,0,1,0,0,1,0,0
898,Zane Eglte,0,0,1,0,0,0,0,1,0,1,0,0,0
899,Maki Eguchi,0,0,1,0,0,0,0,1,0,1,0,0,0
900,Anda Eibele,0,0,1,0,0,0,0,1,0,1,0,0,0
901,Gintaras Einikis,1,0,1,0,0,0,0,0,1,0,0,1,1
902,Gintaras Einikis,1,0,0,1,0,0,0,0,1,0,0,1,1
903,Gintaras Einikis,1,0,0,1,0,0,0,0,1,0,0,1,1
904,Vital Eiselt,1,0,1,0,0,0,0,1,0,0,1,0,0
905,Mourad El Mabrouk,1,0,1,0,0,0,0,1,0,0,1,0,0
906,Abdel Hadi Ahmed El-Gazzar,1,0,1,0,0,0,0,1,0,0,1,0,0
907,Ashraf El-Kordy Mohammed,1,0,1,0,0,0,0,1,0,0,1,0,0
908,Tarek Kamal El-Sabbagh,1,0,0,1,0,0,0,1,0,1,0,0,0
909,Ahmed Abdel Hamid El-Saharty,1,0,1,0,0,0,0,1,0,0,1,0,0
910,Ahmed Abdel Hamid El-Saharty,1,0,1,0,0,0,0,1,0,0,1,0,0
911,Mohamed El-Shakeri,1,1,0,0,0,0,0,1,0,0,1,0,0
912,Khalil El-Yamani,1,0,1,0,0,0,0,1,0,1,0,0,0
913,Kateina Elhotov,0,1,0,0,0,0,0,1,0,1,0,0,0
914,Kateina Elhotov,0,0,1,0,0,0,0,1,0,1,0,0,0
915,Elicer Ellis Carrasco,1,0,1,0,0,0,0,1,0,0,1,0,0
916,Jan Lennart Enjebo,1,0,1,0,0,0,0,1,0,0,1,0,0
917,Milayda Enrquez Parrado,0,0,1,0,0,0,0,1,0,0,1,0,0
918,Milayda Enrquez Parrado,0,0,0,1,0,0,0,1,0,0,1,0,0
919,Milayda Enrquez Parrado,0,0,0,1,0,0,0,1,0,0,1,0,0
920,Joaqun Enseat Torrents,1,0,1,0,0,0,0,1,0,1,0,0,0
921,Olivia poupa,0,0,1,0,0,0,0,1,0,1,0,0,0
922,Ebi Ere,1,0,0,0,1,0,0,1,0,0,1,0,0
923,rika Cristina de Souza,0,0,1,0,0,0,0,1,0,0,1,0,0
924,rika Cristina de Souza,0,0,0,1,0,0,0,1,0,0,1,0,0
925,rika Cristina de Souza,0,0,0,0,1,0,0,1,0,0,1,0,0
926,Juan Alberto Espil Vanotti,1,0,0,1,0,0,0,1,0,0,1,0,0
927,Miguel ngel Estrada Cobea,1,0,1,0,0,0,0,0,1,0,1,0,0
928,"Mary Camille ""Kamie"" Ethridge",0,0,1,0,0,0,0,1,0,1,0,0,3
929,Fineza  da Silva Eusbio,0,0,1,0,0,0,0,1,0,1,0,0,0
930,"William Best ""Billy"" Evans",1,0,1,0,0,0,0,1,0,0,1,0,3
931,Jodi Karyn Evans,0,0,0,1,0,0,0,1,0,1,0,0,0
932,Patrick Aloysius Ewing,1,0,1,0,0,0,0,0,1,0,0,1,3
933,Patrick Aloysius Ewing,1,0,0,1,0,0,0,0,1,0,0,1,3
934,Roberta Faccin,0,0,1,0,0,0,0,1,0,1,0,0,0
935,"Temitope ""Temi"" Fagbenle",0,1,0,0,0,0,0,1,0,0,1,0,0
936,Sharif Karim Fajardo,1,0,0,1,0,0,0,0,1,0,0,1,0
937,Ada Fall,0,0,0,1,0,0,0,1,0,0,1,0,0
938,Cheikh Amadou Fall,1,0,1,0,0,0,0,1,0,1,0,0,0
939,Cheikh Amadou Fall,1,0,0,1,0,0,0,1,0,1,0,0,0
940,Mbarika Fall,0,0,0,1,0,0,0,1,0,1,0,0,0
941,"Trisha Nicole ""Trish"" Fallon (-Dykstra)",0,0,1,0,0,0,0,1,0,1,0,0,1
942,"Trisha Nicole ""Trish"" Fallon (-Dykstra)",0,0,0,1,0,0,0,1,0,1,0,0,2
943,"Trisha Nicole ""Trish"" Fallon (-Dykstra)",0,0,0,0,1,0,0,1,0,1,0,0,2
944,Daniel Edgardo Farabello,1,0,1,0,0,0,0,1,0,0,1,0,0
945,Gina Anne Marie Farmer,0,0,1,0,0,0,0,1,0,0,1,0,0
946,Gina Anne Marie Farmer,0,0,0,1,0,0,0,1,0,0,1,0,0
947,Sally Anne Farmer,0,0,1,0,0,0,0,1,0,1,0,0,0
948,Sally Anne Farmer,0,0,0,1,0,0,0,1,0,1,0,0,0
949,Panagiotis Fasoulas,1,0,0,0,1,0,0,0,1,0,0,1,0
950,Mathieu Faye,1,0,1,0,0,0,0,1,0,0,1,0,0
951,Sten Erik Feldreich,1,0,1,0,0,0,0,0,1,0,1,0,0
952,Cristiano Silva Felcio,1,0,1,0,0,0,0,0,1,0,0,1,0
953,Madalena de Carvalho Felix,0,0,1,0,0,0,0,1,0,0,1,0,0
954,Patrick Oliver Femerling,1,0,0,0,1,0,0,0,1,0,0,1,0
955,Fernanda Neves Beling,0,0,1,0,0,0,0,1,0,1,0,0,0
956,Gabriel Diego Fernndez,1,0,0,1,0,0,0,0,1,0,0,1,3
957,Marta Fernndez Farrs,0,0,1,0,0,0,0,1,0,1,0,0,0
958,"Rodolfo ""Rudy"" Fernndez Farrs",1,1,0,0,0,0,0,1,0,0,1,0,0
959,"Rodolfo ""Rudy"" Fernndez Farrs",1,0,1,0,0,0,0,1,0,0,1,0,2
960,"Rodolfo ""Rudy"" Fernndez Farrs",1,0,0,1,0,0,0,1,0,0,1,0,2
961,"Rodolfo ""Rudy"" Fernndez Farrs",1,0,0,0,1,0,0,1,0,0,1,0,1
962,"Javier ""Xavi"" Fernndez Fernndez",1,0,1,0,0,0,0,1,0,0,1,0,0
963,Demtrius Conrado Ferraci,1,0,1,0,0,0,0,1,0,0,1,0,0
964,Marina Ferragut Castillo,0,1,0,0,0,0,0,1,0,0,1,0,0
965,Marina Ferragut Castillo,0,0,0,0,1,0,0,1,0,0,1,0,0
966,Nelli Vasilyevna Feryabnikova (Bilmayer-),0,0,0,1,0,0,0,1,0,0,1,0,3
967,Nelli Vasilyevna Feryabnikova (Bilmayer-),0,0,0,0,1,0,0,1,0,0,1,0,3
968,Andrey Sergeyevich Fetisov,1,0,0,1,0,0,0,0,1,0,1,0,0
969,Nirra Fields,0,0,1,0,0,0,0,1,0,1,0,0,0
970,Isabelle Fijalkowski (-Tournebize),0,0,0,1,0,0,0,1,0,0,1,0,0
971,Krzysztof Fikiel,1,0,1,0,0,0,0,0,1,0,1,0,0
972,Ngendua Filipe,0,0,0,1,0,0,0,1,0,1,0,0,0
973,Stefan Filipov,1,0,1,0,0,0,0,1,0,0,1,0,0
974,"Kenneth Roy ""Ken"" Finch",1,1,0,0,0,0,0,1,0,1,0,0,0
975,Teijo Uolevi Finneman,1,1,0,0,0,0,0,1,0,0,1,0,0
976,Scott Fisher,1,0,0,0,1,0,0,0,1,0,0,1,0
977,Ottorino Flaborea,1,0,1,0,0,0,0,1,0,0,0,1,0
978,Ottorino Flaborea,1,0,0,1,0,0,0,1,0,0,0,1,0
979,Ottorino Flaborea,1,0,0,0,1,0,0,1,0,0,0,1,0
980,"Vernon ""Vern"" Fleming",1,0,1,0,0,0,0,1,0,0,1,0,3
981,Charles Bruce Flick,1,0,1,0,0,0,0,1,0,0,1,0,0
982,"Danilo Zoleta ""Danny"" Florencio",1,0,1,0,0,0,0,1,0,1,0,0,0
983,"Danilo Zoleta ""Danny"" Florencio",1,0,1,0,0,0,0,1,0,1,0,0,0
984,Jorge R. Flores,1,0,1,0,0,0,0,1,0,0,1,0,0
985,Manuel Flores Snchez,1,0,0,1,0,0,0,1,0,0,1,0,0
986,Jacques Flouret,1,0,0,1,0,0,0,1,0,0,1,0,0
987,Laurent Foirest,1,0,0,1,0,0,0,1,0,0,1,0,2
988,"James Ricardo ""Jim"" Forbes",1,1,0,0,0,0,0,0,1,0,1,0,2
989,"Gilbert ""Gib"" Ford",1,0,1,0,0,0,0,1,0,0,1,0,3
990,"Philip Jackson ""Phil"" Ford, Jr.",1,1,0,0,0,0,0,1,0,0,1,0,3
991,"Joseph Cephis ""Joe"" Fortenberry",1,0,1,0,0,0,0,0,1,0,1,0,3
992,Antonios Fotsis,1,0,1,0,0,0,0,0,1,0,0,1,0
993,Antonios Fotsis,1,0,0,1,0,0,0,0,1,0,0,1,0
994,Ahmed Sherif Fouad Aboulkheir,1,0,1,0,0,0,0,1,0,0,1,0,0
995,"Calvin Bernard ""Cal"" Fowler",1,0,0,1,0,0,0,1,0,0,1,0,3
996,Sylvia Shaqueria Fowles,0,0,1,0,0,0,0,1,0,0,1,0,3
997,Sylvia Shaqueria Fowles,0,0,0,1,0,0,0,1,0,0,1,0,3
998,Sylvia Shaqueria Fowles,0,0,0,1,0,0,0,1,0,0,1,0,3
999,Francielle Aparecida do Nascimento,0,1,0,0,0,0,0,1,0,1,0,0,0
1000,Francielle Aparecida do Nascimento,0,0,1,0,0,0,0,1,0,1,0,0,0
1001,"Gregory Andre ""Greg"" Francis",1,0,0,1,0,0,0,1,0,0,1,0,0
1002,"Francisco Srgio ""Fransergio"" Garca",1,0,1,0,0,0,0,1,0,1,0,0,0
1003,Vctor J. Frattini Bononi,1,0,0,1,0,0,0,1,0,0,1,0,0
1004,Joel Daniel Freeland,1,0,1,0,0,0,0,0,1,0,0,1,0
1005,"Marcus Ross ""Marc"" Freiberger",1,0,1,0,0,0,0,0,1,0,1,0,3
1006,Kazimierz Frelkiewicz,1,0,1,0,0,0,0,1,0,1,0,0,0
1007,Kazimierz Frelkiewicz,1,0,0,1,0,0,0,1,0,1,0,0,0
1008,Vitaly Valeryevich Fridzon,1,0,1,0,0,0,0,1,0,0,1,0,0
1009,Vitaly Valeryevich Fridzon,1,0,0,1,0,0,0,1,0,0,1,0,1
1010,Inge Friedenfelds,1,0,1,0,0,0,0,1,0,0,1,0,0
1011,"Friedrich Wilhelm ""Fritz"" Braun",1,0,1,0,0,0,0,1,0,0,1,0,1
1012,Slvka Frniakov,0,0,1,0,0,0,0,1,0,1,0,0,0
1013,Jaime Frontera Colley,1,0,1,0,0,0,0,1,0,0,1,0,0
1014,Jaime Frontera Colley,1,0,0,1,0,0,0,1,0,0,1,0,0
1015,Gregor Fucka,1,0,0,1,0,0,0,0,1,0,1,0,0
1016,Seiji Fujie,1,0,1,0,0,0,0,1,0,0,1,0,0
1017,Yutaka Fujimoto,1,0,1,0,0,0,0,1,0,1,0,0,0
1018,Mieko Fukui,0,1,0,0,0,0,0,1,0,1,0,0,0
1019,Mara Fullin,0,0,0,1,0,0,0,1,0,1,0,0,0
1020,Mara Fullin,0,0,0,0,1,0,0,1,0,1,0,0,0
1021,Lszl Gabnyi,1,0,1,0,0,0,0,0,1,0,1,0,0
1022,Lszl Gabnyi,1,0,0,1,0,0,0,0,1,0,1,0,0
1023,Youssef Gaddour,1,0,1,0,0,0,0,0,1,0,0,1,0
1024,Manuel Roberto Gadea,1,1,0,0,0,0,0,1,0,0,1,0,0
1025,Manuel Roberto Gadea,1,0,1,0,0,0,0,1,0,0,1,0,0
1026,Thierry Gadou,1,0,0,0,1,0,0,0,1,0,0,1,2
1027,"Giacomo ""Jack"" Galanda",1,0,1,0,0,0,0,0,1,0,0,1,0
1028,"Giacomo ""Jack"" Galanda",1,0,0,1,0,0,0,0,1,0,0,1,2
1029,"Alessandro ""Sandro"" Gamba",1,0,0,1,0,0,0,1,0,0,1,0,0
1030,Gang Dong-Hui,1,0,0,1,0,0,0,1,0,0,1,0,0
1031,Gang Ji-Suk,0,0,1,0,0,0,0,1,0,0,1,0,0
1032,Gang Ji-Suk,0,0,1,0,0,0,0,1,0,0,1,0,0
1033,Gao Song,0,1,0,0,0,0,0,1,0,0,1,0,0
1034,Gao Song,0,0,1,0,0,0,0,1,0,0,1,0,0
1035,Jorge Joaqun Garbajosa Chaparro,1,0,1,0,0,0,0,0,1,0,0,1,0
1036,Jorge Joaqun Garbajosa Chaparro,1,0,0,1,0,0,0,0,1,0,0,1,0
1037,Jorge Joaqun Garbajosa Chaparro,1,0,0,1,0,0,0,0,1,0,0,1,2
1038,Alex Ribeiro Garcia,1,0,0,0,1,0,0,1,0,0,0,1,0
1039,Alex Ribeiro Garcia,1,0,0,0,0,1,0,1,0,0,0,1,0
1040,ngel Garca Lucas,1,0,1,0,0,0,0,1,0,0,1,0,0
1041,Begoa Garca Piero,0,0,0,1,0,0,0,1,0,1,0,0,0
1042,Hlio Rubens Garcia,1,0,0,1,0,0,0,1,0,0,1,0,0
1043,Hlio Rubens Garcia,1,0,0,1,0,0,0,1,0,0,1,0,0
1044,Jess Garca Arenas,1,0,1,0,0,0,0,0,1,0,1,0,0
1045,Luis Agustin Garca Guido,1,0,1,0,0,0,0,1,0,0,1,0,0
1046,Pablo Garca Leon,1,0,1,0,0,0,0,1,0,0,1,0,0
1047,Valentina Gardellin,0,0,0,1,0,0,0,1,0,1,0,0,0
1048,John Neville Gardiner,1,0,1,0,0,0,0,1,0,0,1,0,0
1049,Patricio Garino Gullotta,1,0,1,0,0,0,0,1,0,0,1,0,0
1050,Kevin Maurice Garnett,1,0,1,0,0,0,0,0,1,0,1,0,3
1051,Robert Garrett,1,0,0,0,1,0,0,1,0,0,0,1,0
1052,Luca Garri,1,0,1,0,0,0,0,0,1,0,0,1,2
1053,Marc Gasol Sez,1,0,1,0,0,0,0,0,1,0,0,1,2
1054,Marc Gasol Sez,1,0,0,1,0,0,0,0,1,0,0,1,2
1055,Pau Gasol Sez,1,0,1,0,0,0,0,0,1,0,0,1,0
1056,Pau Gasol Sez,1,0,0,1,0,0,0,0,1,0,0,1,2
1057,Pau Gasol Sez,1,0,0,0,1,0,0,0,1,0,0,1,2
1058,Pau Gasol Sez,1,0,0,0,0,1,0,0,1,0,0,1,1
1059,Viktoriya Stepanovna Gasper,0,1,0,0,0,0,0,1,0,0,1,0,0
1060,Guido Carlo Gatti,1,0,0,1,0,0,0,1,0,0,1,0,0
1061,Raymond Dewayne Gause Santiago,1,0,0,1,0,0,0,1,0,0,1,0,0
1062,Raymond Dewayne Gause Santiago,1,0,0,0,1,0,0,1,0,0,1,0,0
1063,Giovanni Angelo Gavagnin,1,0,1,0,0,0,0,1,0,0,1,0,0
1064,Giovanni Angelo Gavagnin,1,0,0,1,0,0,0,1,0,0,1,0,0
1065,Andrew Barry Casson Gaze,1,1,0,0,0,0,0,0,1,0,1,0,0
1066,Andrew Barry Casson Gaze,1,0,1,0,0,0,0,0,1,0,1,0,0
1067,Andrew Barry Casson Gaze,1,0,0,1,0,0,0,0,1,0,1,0,0
1068,Andrew Barry Casson Gaze,1,0,0,1,0,0,0,0,1,0,1,0,0
1069,Andrew Barry Casson Gaze,1,0,0,0,1,0,0,0,1,0,1,0,0
1070,Lindsay John Casson Gaze,1,0,0,1,0,0,0,1,0,0,1,0,0
1071,Michael Patrick Gbinije,1,0,1,0,0,0,0,0,1,0,1,0,0
1072,Jamil Gedeo,1,0,1,0,0,0,0,1,0,0,1,0,0
1073,Mickal Gelabale,1,0,0,1,0,0,0,0,1,0,1,0,0
1074,Mickal Gelabale,1,0,0,0,1,0,0,0,1,0,1,0,0
1075,Pietro Generali,1,0,1,0,0,0,0,0,1,0,1,0,2
1076,Cayla George,0,0,0,1,0,0,0,1,0,0,1,0,0
1077,Paul George,1,0,0,1,0,0,0,0,1,0,1,0,3
1078,Blagoja Georgievski,1,0,1,0,0,0,0,1,0,0,1,0,0
1079,Blagoja Georgievski,1,0,1,0,0,0,0,1,0,0,1,0,2
1080,Irina Yakovlevna Gerlits,0,0,1,0,0,0,0,1,0,1,0,0,1
1081,Irina Yakovlevna Gerlits,0,0,0,1,0,0,0,1,0,1,0,0,3
1082,Silviya Germanova,0,1,0,0,0,0,0,1,0,1,0,0,2
1083,Gerson Victalino,1,0,1,0,0,0,0,0,1,0,1,0,0
1084,Gerson Victalino,1,0,0,1,0,0,0,0,1,0,1,0,0
1085,Gerson Victalino,1,0,0,0,1,0,0,0,1,0,1,0,0
1086,Holger Geschwindner,1,0,0,1,0,0,0,1,0,0,1,0,0
1087,Mokhtar Ghyaza,1,0,1,0,0,0,0,0,1,0,0,1,0
1088,Panagiotis Giannakis,1,0,0,0,0,1,0,1,0,0,1,0,0
1089,"John Haskell ""Tex"" Gibbons",1,0,0,1,0,0,0,1,0,0,1,0,3
1090,Adam Gibson,1,0,1,0,0,0,0,1,0,0,1,0,0
1091,Andrius Giedraitis,1,0,0,1,0,0,0,1,0,0,1,0,1
1092,Laura Gil Collado,0,0,1,0,0,0,0,1,0,0,1,0,2
1093,Enrico Gilardi,1,0,1,0,0,0,0,1,0,0,1,0,2
1094,Enrico Gilardi,1,0,0,1,0,0,0,1,0,0,1,0,0
1095,Jennifer Gillom,0,0,1,0,0,0,0,1,0,0,1,0,3
1096,Gilson Trinidade de Jesus,1,0,1,0,0,0,0,1,0,0,1,0,0
1097,Vidas Gineviius,1,0,0,1,0,0,0,1,0,0,1,0,0
1098,"Emanuel David ""Manu"" Ginbili Maccari",1,0,0,1,0,0,0,1,0,0,1,0,3
1099,"Emanuel David ""Manu"" Ginbili Maccari",1,0,0,0,1,0,0,1,0,0,1,0,1
1100,"Emanuel David ""Manu"" Ginbili Maccari",1,0,0,0,1,0,0,1,0,0,1,0,0
1101,"Emanuel David ""Manu"" Ginbili Maccari",1,0,0,0,0,1,0,1,0,0,1,0,0
1102,Augusto Giomo,1,1,0,0,0,0,0,1,0,1,0,0,0
1103,Augusto Giomo,1,0,1,0,0,0,0,1,0,1,0,0,0
1104,Giorgio Giomo,1,0,1,0,0,0,0,1,0,0,1,0,0
1105,Guilherme Giovannoni,1,0,0,0,1,0,0,0,1,0,1,0,0
1106,Guilherme Giovannoni,1,0,0,0,0,1,0,0,1,0,1,0,0
1107,Giuseppe Gjergja,1,0,1,0,0,0,0,1,0,1,0,0,0
1108,Giuseppe Gjergja,1,0,0,1,0,0,0,1,0,1,0,0,0
1109,Victor Wayne Glasgow,1,0,0,1,0,0,0,1,0,0,1,0,3
1110,rpd Glatz,1,0,1,0,0,0,0,1,0,0,1,0,0
1111,rpd Glatz,1,0,1,0,0,0,0,1,0,0,1,0,0
1112,Andreas Glyniadakis,1,0,0,1,0,0,0,0,1,0,0,1,0
1113,"Hans-Jrgen ""Hansi"" Gnad",1,0,0,1,0,0,0,0,1,0,0,1,0
1114,Rudy Gobert-Bourgarel,1,0,1,0,0,0,0,0,1,0,0,1,0
1115,Martina Godlyov,0,0,1,0,0,0,0,1,0,1,0,0,0
1116,Elodie Godin,0,0,0,1,0,0,0,1,0,0,1,0,2
1117,Nadka Vangelova Golcheva,0,0,1,0,0,0,0,1,0,1,0,0,1
1118,Nadka Vangelova Golcheva,0,0,0,1,0,0,0,1,0,1,0,0,2
1119,"Rollit James ""Rolly"" Goldring",1,0,0,1,0,0,0,1,0,0,1,0,0
1120,Slaana Goli,0,0,1,0,0,0,0,1,0,1,0,0,0
1121,Slaana Goli,0,0,0,1,0,0,0,1,0,1,0,0,2
1122,Christian Gombe,1,0,0,1,0,0,0,1,0,0,1,0,0
1123,Joaquim Brando Gomes,1,0,1,0,0,0,0,1,0,0,1,0,0
1124,Joaquim Brando Gomes,1,0,0,1,0,0,0,1,0,0,1,0,0
1125,Gertrudis Gmez Sand,0,0,0,1,0,0,0,1,0,0,1,0,0
1126,Julio Csar Gmez Mateo,1,0,1,0,0,0,0,1,0,0,1,0,0
1127,milie Gomis,0,0,0,1,0,0,0,1,0,1,0,0,2
1128,Ana Cludia  da Costa Gonalves,0,1,0,0,0,0,0,1,0,0,1,0,0
1129,Gong Luming,1,0,0,0,1,0,0,1,0,1,0,0,0
1130,Gong Xiaobin,1,0,1,0,0,0,0,0,1,0,1,0,0
1131,Gong Xiaobin,1,0,0,1,0,0,0,0,1,0,1,0,0
1132,Jacinto Gonzlez Peralta,1,0,0,1,0,0,0,1,0,0,1,0,0
1133,Miguel ngel Gonzlez Lzaro,1,0,1,0,0,0,0,1,0,0,1,0,0
1134,Romn Javier Gonzlez,1,0,0,1,0,0,0,0,1,0,0,1,1
1135,Rostyn Eduardo Gonzlez Ortega,1,0,0,1,0,0,0,1,0,0,1,0,0
1136,Aubin-Thierry Goporo,1,1,0,0,0,0,0,1,0,0,1,0,0
1137,Frdricque Rufin Goporo,1,0,1,0,0,0,0,1,0,1,0,0,0
1138,Radvilas Kasimiras Gorauskas,1,0,0,0,1,0,0,1,0,0,1,0,0
1139,Slobodan Gordi,1,0,1,0,0,0,0,1,0,0,1,0,0
1140,Slobodan Gordi,1,0,0,1,0,0,0,1,0,0,1,0,0
1141,Bridgette C. Gordon,0,0,1,0,0,0,0,1,0,1,0,0,3
1142,Vladimir Viktorovich Gorin,1,0,0,0,1,0,0,1,0,0,1,0,0
1143,Lidia Gorlin,0,0,0,1,0,0,0,1,0,1,0,0,0
1144,Shelley Ann Gorman-Sandie,0,1,0,0,0,0,0,1,0,1,0,0,0
1145,Shelley Ann Gorman-Sandie,0,0,0,1,0,0,0,1,0,1,0,0,1
1146,Shelley Ann Gorman-Sandie,0,0,0,0,1,0,0,1,0,1,0,0,2
1147,"Christopher John ""Chris"" Goulding",1,0,0,1,0,0,0,1,0,0,1,0,0
1148,Ricky Ray Grace,1,0,0,0,1,0,0,1,0,0,1,0,0
1149,Luis Enrique Grajeda Alvarado,1,0,0,1,0,0,0,1,0,1,0,0,0
1150,Luis Enrique Grajeda Alvarado,1,0,0,0,1,0,0,1,0,1,0,0,0
1151,Henri Grange,1,0,1,0,0,0,0,1,0,0,1,0,0
1152,Henri Grange,1,0,1,0,0,0,0,1,0,0,1,0,0
1153,Windi Manuel Graterol Clemente,1,0,0,1,0,0,0,0,1,0,0,1,0
1154,"Jeffrey ""Jeff"" Grayer",1,0,1,0,0,0,0,1,0,0,1,0,1
1155,Graziane de Jesus Coelho,0,0,1,0,0,0,0,1,0,0,0,1,0
1156,Draymond Jamal Green,1,0,0,1,0,0,0,1,0,0,0,1,3
1157,Demond William Greene,1,0,0,1,0,0,0,1,0,0,1,0,0
1158,Alan Gregov,1,0,1,0,0,0,0,1,0,0,1,0,2
1159,Jnos Greminger,1,0,1,0,0,0,0,1,0,1,0,0,0
1160,Jnos Greminger,1,0,0,0,1,0,0,1,0,1,0,0,0
1161,Jnos Greminger,1,0,0,0,1,0,0,1,0,1,0,0,0
1162,Yolanda Yvette Griffith,0,0,0,1,0,0,0,1,0,0,1,0,3
1163,Yolanda Yvette Griffith,0,0,0,0,1,0,0,1,0,0,1,0,3
1164,Marius Grigonis,1,0,1,0,0,0,0,1,0,0,1,0,0
1165,Hollie Louise Grima (-Florance),0,0,1,0,0,0,0,1,0,0,1,0,2
1166,Brittney Yevette Griner,0,0,1,0,0,0,0,0,1,0,1,0,3
1167,Nadezhda Sergeyevna Grishayeva,0,0,1,0,0,0,0,1,0,0,1,0,0
1168,Orietta Grossi,0,0,1,0,0,0,0,1,0,0,1,0,0
1169,"Alexander John ""Alex"" Groza",1,0,1,0,0,0,0,1,0,0,1,0,3
1170,Sandrine Gruda,0,0,1,0,0,0,0,1,0,0,1,0,2
1171,Sandrine Gruda,0,0,0,1,0,0,0,1,0,0,1,0,0
1172,"Ernest ""Ernie"" Grunfeld",1,0,1,0,0,0,0,1,0,0,0,1,3
1173,Florian Grzechowiak,1,0,1,0,0,0,0,1,0,1,0,0,0
1174,Snia  Sebastio Guadalupe,0,0,0,1,0,0,0,1,0,0,1,0,0
1175,Guan Xin,0,0,1,0,0,0,0,1,0,0,1,0,0
1176,"Peter Anthony ""Pete"" Guarasci",1,0,0,1,0,0,0,0,1,0,0,1,0
1177,Mohamed Talaat Mohamed Guenidi,1,0,0,1,0,0,0,1,0,0,1,0,0
1178,Arturo Guerrero Moreno,1,1,0,0,0,0,0,1,0,0,1,0,0
1179,Arturo Guerrero Moreno,1,0,0,1,0,0,0,1,0,0,1,0,0
1180,"Jorge ""Guerrinha"" Guerra",1,0,0,1,0,0,0,1,0,0,1,0,0
1181,"Jorge ""Guerrinha"" Guerra",1,0,0,0,1,0,0,1,0,0,1,0,0
1182,Alioune Badara Guye,1,1,0,0,0,0,0,1,0,1,0,0,0
1183,Alioune Badara Guye,1,0,1,0,0,0,0,1,0,1,0,0,0
1184,Awa Guye,0,0,1,0,0,0,0,1,0,1,0,0,0
1185,Jorge Guilln Montenegro,1,0,1,0,0,0,0,1,0,0,1,0,0
1186,Heissler Rafael Guillnt Ecker,1,0,0,1,0,0,0,1,0,0,1,0,0
1187,Fernand Guillou,1,0,1,0,0,0,0,1,0,0,1,0,2
1188,Jos Carlos R. de Carvalho Guimares,1,0,0,1,0,0,0,1,0,0,1,0,0
1189,Jos Carlos R. de Carvalho Guimares,1,0,0,0,1,0,0,1,0,0,1,0,0
1190,Nilo Martins Guimares,1,0,0,1,0,0,0,1,0,1,0,0,0
1191,va Gulys (-Beloberk),0,0,1,0,0,0,0,1,0,1,0,0,0
1192,Ildik Gulys,0,1,0,0,0,0,0,1,0,1,0,0,0
1193,Magdolna Gulys (-Szabics),0,0,0,0,1,0,0,1,0,1,0,0,0
1194,Peter Gsta Tomas Gunterberg,1,0,1,0,0,0,0,1,0,0,1,0,0
1195,Guo Ailun,1,1,0,0,0,0,0,1,0,0,1,0,0
1196,Guo Ailun,1,0,1,0,0,0,0,1,0,0,1,0,0
1197,Guo Shiqiang,1,0,1,0,0,0,0,1,0,0,1,0,0
1198,Guo Shiqiang,1,0,0,1,0,0,0,1,0,0,1,0,0
1199,Dilip Gurumurthy,1,0,1,0,0,0,0,1,0,1,0,0,0
