ID,Name,Sex,AGE_15_20,AGE_20_25,AGE_25_30,AGE_30_35,AGE_35_40,AGE_40_and_above,Height_Below_200,Height_Above_200,Weight_50_75,Weight_75_100,Weight_above_100,Medal
73,Carlos Domingos Bendinha de Almeida,1,0,1,0,0,0,0,1,0,0,1,0,0
74,Carlos Domingos Bendinha de Almeida,1,0,0,1,0,0,0,1,0,0,1,0,0
75,Carlos Domingos Bendinha de Almeida,1,0,0,0,1,0,0,1,0,0,1,0,0
76,Lorenzo Alocn Castan,1,0,0,1,0,0,0,1,0,0,1,0,0
77,Joanne Aluka,0,0,1,0,0,0,0,1,0,0,1,0,0
78,Nicolas Noel Alvarado Lay,1,0,1,0,0,0,0,1,0,0,1,0,0
79,"Roberto ""Bobby"" lvarez",1,1,0,0,0,0,0,1,0,0,1,0,0
80,Jos Miguel lvarez Pozo,1,0,1,0,0,0,0,1,0,0,1,0,1
81,"Frangiskos ""Frankie"" Alvertis",1,0,1,0,0,0,0,0,1,0,1,0,0
82,"Frangiskos ""Frankie"" Alvertis",1,0,0,1,0,0,0,0,1,0,1,0,0
83,Mactabene Amachree,0,0,0,1,0,0,0,1,0,0,1,0,0
84,Marielle Amant,0,0,0,1,0,0,0,1,0,0,1,0,0
85,Amaury Antnio Pasos,1,1,0,0,0,0,0,1,0,0,1,0,0
86,Amaury Antnio Pasos,1,0,1,0,0,0,0,1,0,0,1,0,1
87,Amaury Antnio Pasos,1,0,0,1,0,0,0,1,0,0,1,0,1
88,Felizardo Silvestre Bumba Ambrsio,1,1,0,0,0,0,0,0,1,0,1,0,0
89,Amir Amini,1,0,1,0,0,0,0,1,0,0,1,0,0
90,Al-Farouq Ajiede Aminu,1,0,1,0,0,0,0,0,1,0,1,0,0
91,"Abdul Wahab ""Alade"" Aminu",1,0,1,0,0,0,0,0,1,0,0,1,0
92,"Abdul Wahab ""Alade"" Aminu",1,0,0,1,0,0,0,0,1,0,0,1,0
93,Artur Amon,1,1,0,0,0,0,0,1,0,1,0,0,0
94,Karl Ampt,1,0,1,0,0,0,0,1,0,0,1,0,0
95,An Seon-Mi,0,0,1,0,0,0,0,1,0,1,0,0,0
96,David Emil Andersen,1,0,1,0,0,0,0,0,1,0,0,1,0
97,David Emil Andersen,1,0,0,1,0,0,0,0,1,0,0,1,0
98,David Emil Andersen,1,0,0,0,1,0,0,0,1,0,0,1,0
99,David Emil Andersen,1,0,0,0,0,1,0,0,1,0,0,1,0
